"word","lemma"
"abbekommt","abbekommen"
"abdichten","abdichen"
"abende","abend"
"Abende","Abend"
"Abenden","Abend"
"abendliche","abendlich"
"Abendlokalen","Abendlokal"
"Abends","Abend"
"Aber","aber"
"ABER","aber"
"abfährt","abfahren"
"abfällt","abfallen"
"abgebaut","abbauen"
"abgebildeten","abgebilden"
"abgegeben","abgeben"
"abgeholt","abgeholen"
"abgeht","abgehen"
"abgekauft","abkaufen"
"abgeklärt","abgeklären"
"abgelegt","ablegen"
"abgelenkt","ablenken"
"abgemacht","abgemachen"
"abgeneigt","abgeneigen"
"abgerechnet","abrechnen"
"abgerissen","abreißen"
"abgeschlossen","abschließen"
"abgeschreckt","abgeschrecken"
"abgesehen","absehen"
"Abgesehen","absehen"
"abgesichert","absichern"
"abgestellt","abstellen"
"abgestiegen","absteigen"
"abgestimmt","abstimmen"
"abgestimmtes","abgestimmt"
"abgeteilt","abgeteilen"
"abgetrennten","abgetrennen"
"abgewandt","abwenden"
"abgewandten","abgewenden"
"abgewässerten","abgewässeren"
"abgrundtiefe","abgrundtief"
"abhaue","abhauen"
"able","abel"
"ablehnt","ablehnen"
"Ablösesumme","Ablösesummen"
"Abmaße","Abmaß"
"about","abouen"
"About","Abouen"
"above","abov"
"Abschalten","Abschalen"
"abschließbare","abschließbar"
"abschließbarer","abschließbar"
"abschließbares","abschließbar"
"abschliesse","abschliessen"
"abschließt","abschließen"
"Abschluss","Abschluß"
"abschreckt","abschrecken"
"absehbarer","absehbar"
"Abseits","abseits"
"absieht","absehen"
"absolut","absoluen"
"absolute","absoluen"
"absolutem","absolut"
"absoluter","absolut"
"absolutes","absolut"
"Absolutes","absolut"
"Absolventen","Absolvenen"
"absolviert","absolvieren"
"abspielt","abspielen"
"Absprache","Absprach"
"Abstand","Abstehen"
"abstell","abstellen"
"Abstellplätze","Abstellplatz"
"Abstellräume","Abstellraum"
"abtrünniger","abtrünnig"
"abwechslungsreiche","abwechslungsreich"
"abwechslungsreiches","abwechslungsreich"
"abzuhalten","abhalten"
"accept","accepen"
"accessible","accessibel"
"according","accordehen"
"account","accounen"
"Account","Accounen"
"accumulates","accumulat"
"Ach","ach"
"acht","achen"
"achtest","achtesen"
"achtet","achten"
"achtsam","achtsommen"
"ACHTUNG","Achtung"
"acogedor","acogedören"
"across","acrießen"
"actitudes","actitud"
"active","activ"
"actividades","actividad"
"activites","activit"
"activities","activiteisen"
"adäquat","adäqueten"
"adding","addehen"
"adjacent","adjacenen"
"advantage","advantagen"
"advantages","advantag"
"Advantages","Advantag"
"Affinität","Affinitaten"
"affordable","affordabel"
"after","aft"
"against","againsen"
"age","agen"
"ages","ag"
"agreement","agreemenen"
"agrees","agre"
"ähnelt","ähneln"
"Ähnlich","ähnlich"
"ähnliche","ähnlich"
"ähnlichem","ähnlich"
"Ähnlichem","ähnlich"
"ähnlichen","ähnlich"
